dsid,job_title,experience_level,work_year,salary,salary_currency,salary_in_usd
0,Data Scientist,MI,2020,70000,EUR,79833
1,Machine Learning Scientist,SE,2020,260000,USD,260000
2,Big Data Engineer,SE,2020,85000,GBP,109024
3,Product Data Analyst,MI,2020,20000,USD,20000
4,Machine Learning Engineer,SE,2020,150000,USD,150000
5,Data Analyst,EN,2020,72000,USD,72000
6,Lead Data Scientist,SE,2020,190000,USD,190000
7,Data Scientist,MI,2020,11000000,HUF,35735
8,Business Data Analyst,MI,2020,135000,USD,135000
9,Lead Data Engineer,SE,2020,125000,USD,125000
10,Data Scientist,EN,2020,45000,EUR,51321
11,Data Scientist,MI,2020,3000000,INR,40481
12,Data Scientist,EN,2020,35000,EUR,39916
13,Lead Data Analyst,MI,2020,87000,USD,87000
14,Data Analyst,MI,2020,85000,USD,85000
15,Data Analyst,MI,2020,8000,USD,8000
16,Data Engineer,EN,2020,4450000,JPY,41689
17,Big Data Engineer,SE,2020,100000,EUR,114047
18,Data Science Consultant,EN,2020,423000,INR,5707
19,Lead Data Engineer,MI,2020,56000,USD,56000
20,Machine Learning Engineer,MI,2020,299000,CNY,43331
21,Product Data Analyst,MI,2020,450000,INR,6072
22,Data Engineer,SE,2020,42000,EUR,47899
23,BI Data Analyst,MI,2020,98000,USD,98000
24,Lead Data Scientist,MI,2020,115000,USD,115000
25,Director of Data Science,EX,2020,325000,USD,325000
26,Research Scientist,EN,2020,42000,USD,42000
27,Data Engineer,SE,2020,720000,MXN,33511
28,Business Data Analyst,EN,2020,100000,USD,100000
29,Machine Learning Manager,SE,2020,157000,CAD,117104
30,Data Engineering Manager,MI,2020,51999,EUR,59303
31,Big Data Engineer,EN,2020,70000,USD,70000
32,Data Scientist,SE,2020,60000,EUR,68428
33,Research Scientist,MI,2020,450000,USD,450000
34,Data Analyst,MI,2020,41000,EUR,46759
35,Data Engineer,MI,2020,65000,EUR,74130
36,Data Science Consultant,MI,2020,103000,USD,103000
37,Machine Learning Engineer,EN,2020,250000,USD,250000
38,Data Analyst,EN,2020,10000,USD,10000
39,Machine Learning Engineer,EN,2020,138000,USD,138000
40,Data Scientist,MI,2020,45760,USD,45760
41,Data Engineering Manager,EX,2020,70000,EUR,79833
42,Machine Learning Infrastructure Engineer,MI,2020,44000,EUR,50180
43,Data Engineer,MI,2020,106000,USD,106000
44,Data Engineer,MI,2020,88000,GBP,112872
45,ML Engineer,EN,2020,14000,EUR,15966
46,Data Scientist,MI,2020,60000,GBP,76958
47,Data Engineer,SE,2020,188000,USD,188000
48,Data Scientist,MI,2020,105000,USD,105000
49,Data Engineer,MI,2020,61500,EUR,70139
50,Data Analyst,EN,2020,450000,INR,6072
51,Data Analyst,EN,2020,91000,USD,91000
52,AI Scientist,EN,2020,300000,DKK,45896
53,Data Engineer,EN,2020,48000,EUR,54742
54,Computer Vision Engineer,SE,2020,60000,USD,60000
55,Principal Data Scientist,SE,2020,130000,EUR,148261
56,Data Scientist,MI,2020,34000,EUR,38776
57,Data Scientist,MI,2020,118000,USD,118000
58,Data Scientist,SE,2020,120000,USD,120000
59,Data Scientist,MI,2020,138350,USD,138350
60,Data Engineer,MI,2020,110000,USD,110000
61,Data Engineer,MI,2020,130800,USD,130800
62,Data Scientist,EN,2020,19000,EUR,21669
63,Data Scientist,SE,2020,412000,USD,412000
64,Machine Learning Engineer,SE,2020,40000,EUR,45618
65,Data Scientist,EN,2020,55000,EUR,62726
66,Data Scientist,EN,2020,43200,EUR,49268
67,Data Science Manager,SE,2020,190200,USD,190200
68,Data Scientist,EN,2020,105000,USD,105000
69,Data Scientist,SE,2020,80000,EUR,91237
70,Data Scientist,MI,2020,55000,EUR,62726
71,Data Scientist,MI,2020,37000,EUR,42197
72,Research Scientist,EN,2021,60000,GBP,82528
73,BI Data Analyst,EX,2021,150000,USD,150000
74,Head of Data,EX,2021,235000,USD,235000
75,Data Scientist,SE,2021,45000,EUR,53192
76,BI Data Analyst,MI,2021,100000,USD,100000
77,3D Computer Vision Researcher,MI,2021,400000,INR,5409
78,ML Engineer,MI,2021,270000,USD,270000
79,Data Analyst,EN,2021,80000,USD,80000
80,Data Analytics Engineer,SE,2021,67000,EUR,79197
81,Data Engineer,MI,2021,140000,USD,140000
82,Applied Data Scientist,MI,2021,68000,CAD,54238
83,Machine Learning Engineer,MI,2021,40000,EUR,47282
84,Director of Data Science,EX,2021,130000,EUR,153667
85,Data Engineer,MI,2021,110000,PLN,28476
86,Data Analyst,EN,2021,50000,EUR,59102
87,Data Analytics Engineer,MI,2021,110000,USD,110000
88,Lead Data Analyst,SE,2021,170000,USD,170000
89,Data Analyst,SE,2021,80000,USD,80000
90,Marketing Data Analyst,SE,2021,75000,EUR,88654
91,Data Science Consultant,EN,2021,65000,EUR,76833
92,Lead Data Analyst,MI,2021,1450000,INR,19609
93,Lead Data Engineer,SE,2021,276000,USD,276000
94,Data Scientist,EN,2021,2200000,INR,29751
95,Cloud Data Engineer,MI,2021,120000,SGD,89294
96,AI Scientist,EN,2021,12000,USD,12000
97,Financial Data Analyst,MI,2021,450000,USD,450000
98,Computer Vision Software Engineer,EN,2021,70000,USD,70000
99,Computer Vision Software Engineer,MI,2021,81000,EUR,95746
100,Data Analyst,MI,2021,75000,USD,75000
101,Data Engineer,SE,2021,150000,USD,150000
102,BI Data Analyst,MI,2021,11000000,HUF,36259
103,Data Analyst,MI,2021,62000,USD,62000
104,Data Scientist,MI,2021,73000,USD,73000
105,Data Analyst,MI,2021,37456,GBP,51519
106,Research Scientist,MI,2021,235000,CAD,187442
107,Data Engineer,SE,2021,115000,USD,115000
108,Data Engineer,SE,2021,150000,USD,150000
109,Data Engineer,EN,2021,2250000,INR,30428
110,Machine Learning Engineer,SE,2021,80000,EUR,94564
111,Director of Data Engineering,SE,2021,82500,GBP,113476
112,Lead Data Engineer,SE,2021,75000,GBP,103160
113,AI Scientist,EN,2021,12000,USD,12000
114,Data Engineer,MI,2021,38400,EUR,45391
115,Machine Learning Scientist,EN,2021,225000,USD,225000
116,Data Scientist,MI,2021,50000,USD,50000
117,Data Science Engineer,MI,2021,34000,EUR,40189
118,Data Analyst,EN,2021,90000,USD,90000
119,Data Engineer,MI,2021,200000,USD,200000
120,Big Data Engineer,MI,2021,60000,USD,60000
121,Principal Data Engineer,SE,2021,200000,USD,200000
122,Data Analyst,EN,2021,50000,USD,50000
123,Applied Data Scientist,EN,2021,80000,GBP,110037
124,Data Analyst,EN,2021,8760,EUR,10354
125,Principal Data Scientist,MI,2021,151000,USD,151000
126,Machine Learning Scientist,SE,2021,120000,USD,120000
127,Data Scientist,MI,2021,700000,INR,9466
128,Machine Learning Engineer,EN,2021,20000,USD,20000
129,Lead Data Scientist,SE,2021,3000000,INR,40570
130,Machine Learning Developer,EN,2021,100000,USD,100000
131,Data Scientist,EN,2021,42000,EUR,49646
132,Applied Machine Learning Scientist,MI,2021,38400,USD,38400
133,Computer Vision Engineer,SE,2021,24000,USD,24000
134,Data Scientist,EN,2021,100000,USD,100000
135,Data Analyst,MI,2021,90000,USD,90000
136,ML Engineer,MI,2021,7000000,JPY,63711
137,ML Engineer,MI,2021,8500000,JPY,77364
138,Principal Data Scientist,SE,2021,220000,USD,220000
139,Data Scientist,EN,2021,80000,USD,80000
140,Data Analyst,MI,2021,135000,USD,135000
141,Data Science Manager,SE,2021,240000,USD,240000
142,Data Engineering Manager,SE,2021,150000,USD,150000
143,Data Scientist,MI,2021,82500,USD,82500
144,Data Engineer,MI,2021,100000,USD,100000
145,Machine Learning Engineer,SE,2021,70000,EUR,82744
146,Research Scientist,MI,2021,53000,EUR,62649
147,Data Engineer,MI,2021,90000,USD,90000
148,Data Engineering Manager,SE,2021,153000,USD,153000
149,Cloud Data Engineer,SE,2021,160000,USD,160000
150,Director of Data Science,SE,2021,168000,USD,168000
151,Data Scientist,MI,2021,150000,USD,150000
152,Data Scientist,MI,2021,95000,CAD,75774
153,Data Scientist,EN,2021,13400,USD,13400
154,Data Science Manager,SE,2021,144000,USD,144000
155,Data Science Engineer,SE,2021,159500,CAD,127221
156,Data Scientist,MI,2021,160000,SGD,119059
157,Applied Machine Learning Scientist,MI,2021,423000,USD,423000
158,Data Analytics Manager,SE,2021,120000,USD,120000
159,Machine Learning Engineer,EN,2021,125000,USD,125000
160,Head of Data,EX,2021,230000,USD,230000
161,Head of Data Science,EX,2021,85000,USD,85000
162,Data Engineer,MI,2021,24000,EUR,28369
163,Data Science Consultant,EN,2021,54000,EUR,63831
164,Director of Data Science,EX,2021,110000,EUR,130026
165,Data Specialist,SE,2021,165000,USD,165000
166,Data Engineer,EN,2021,80000,USD,80000
167,Director of Data Science,EX,2021,250000,USD,250000
168,BI Data Analyst,EN,2021,55000,USD,55000
169,Data Architect,MI,2021,150000,USD,150000
170,Data Architect,MI,2021,170000,USD,170000
171,Data Engineer,MI,2021,60000,GBP,82528
172,Data Analyst,EN,2021,60000,USD,60000
173,Principal Data Scientist,SE,2021,235000,USD,235000
174,Research Scientist,SE,2021,51400,EUR,60757
175,Data Engineering Manager,SE,2021,174000,USD,174000
176,Data Scientist,MI,2021,58000,MXN,2859
177,Data Scientist,MI,2021,30400000,CLP,40038
178,Machine Learning Engineer,EN,2021,81000,USD,81000
179,Data Scientist,MI,2021,420000,INR,5679
180,Big Data Engineer,MI,2021,1672000,INR,22611
181,Data Scientist,MI,2021,76760,EUR,90734
182,Data Engineer,MI,2021,22000,EUR,26005
183,Finance Data Analyst,SE,2021,45000,GBP,61896
184,Machine Learning Scientist,MI,2021,12000,USD,12000
185,Data Engineer,MI,2021,4000,USD,4000
186,Data Analytics Engineer,SE,2021,50000,USD,50000
187,Data Science Consultant,EX,2021,59000,EUR,69741
188,Data Engineer,SE,2021,65000,EUR,76833
189,Machine Learning Engineer,MI,2021,74000,USD,74000
190,Data Science Manager,SE,2021,152000,USD,152000
191,Machine Learning Engineer,EN,2021,21844,USD,21844
192,Big Data Engineer,MI,2021,18000,USD,18000
193,Data Science Manager,SE,2021,174000,USD,174000
194,Research Scientist,SE,2021,120500,CAD,96113
195,Data Scientist,MI,2021,147000,USD,147000
196,BI Data Analyst,EN,2021,9272,USD,9272
197,Machine Learning Engineer,SE,2021,1799997,INR,24342
198,Data Science Manager,SE,2021,4000000,INR,54094
199,Data Science Consultant,EN,2021,90000,USD,90000
200,Data Scientist,MI,2021,52000,EUR,61467
201,Machine Learning Infrastructure Engineer,SE,2021,195000,USD,195000
202,Data Scientist,MI,2021,32000,EUR,37825
203,Research Scientist,SE,2021,50000,USD,50000
204,Data Scientist,MI,2021,160000,USD,160000
205,Data Scientist,MI,2021,69600,BRL,12901
206,Machine Learning Engineer,SE,2021,200000,USD,200000
207,Data Engineer,SE,2021,165000,USD,165000
208,Data Engineer,MI,2021,20000,USD,20000
209,Data Analytics Manager,SE,2021,120000,USD,120000
210,Machine Learning Engineer,MI,2021,21000,EUR,24823
211,Research Scientist,MI,2021,48000,EUR,56738
212,Data Engineer,MI,2021,48000,GBP,66022
213,Big Data Engineer,EN,2021,435000,INR,5882
214,Machine Learning Engineer,EN,2021,21000,EUR,24823
215,Principal Data Engineer,SE,2021,185000,USD,185000
216,Computer Vision Engineer,EN,2021,180000,DKK,28609
217,Data Scientist,MI,2021,76760,EUR,90734
218,Machine Learning Engineer,MI,2021,75000,EUR,88654
219,Data Analytics Manager,SE,2021,140000,USD,140000
220,Machine Learning Engineer,MI,2021,180000,PLN,46597
221,Data Scientist,MI,2021,85000,GBP,116914
222,Data Scientist,MI,2021,2500000,INR,33808
223,Data Scientist,MI,2021,40900,GBP,56256
224,Machine Learning Scientist,SE,2021,225000,USD,225000
225,Principal Data Scientist,EX,2021,416000,USD,416000
226,Data Scientist,SE,2021,110000,CAD,87738
227,Data Scientist,MI,2021,75000,EUR,88654
228,Data Scientist,SE,2021,135000,USD,135000
229,Data Analyst,SE,2021,90000,CAD,71786
230,Big Data Engineer,EN,2021,1200000,INR,16228
231,ML Engineer,SE,2021,256000,USD,256000
232,Director of Data Engineering,SE,2021,200000,USD,200000
233,Data Analyst,SE,2021,200000,USD,200000
234,Data Architect,MI,2021,180000,USD,180000
235,Head of Data Science,MI,2021,110000,USD,110000
236,Research Scientist,MI,2021,80000,CAD,63810
237,Data Scientist,MI,2021,39600,EUR,46809
238,Data Scientist,EN,2021,4000,USD,4000
239,Data Engineer,EN,2021,1600000,INR,21637
240,Data Scientist,SE,2021,130000,CAD,103691
241,Data Analyst,MI,2021,80000,USD,80000
242,Data Engineer,MI,2021,110000,USD,110000
243,Data Scientist,SE,2021,165000,USD,165000
244,AI Scientist,EN,2021,1335000,INR,18053
245,Data Engineer,MI,2021,52500,GBP,72212
246,Data Scientist,EN,2021,31000,EUR,36643
247,Data Engineer,MI,2021,108000,TRY,12103
248,Data Engineer,SE,2021,70000,GBP,96282
249,Principal Data Analyst,SE,2021,170000,USD,170000
250,Data Scientist,MI,2021,115000,USD,115000
251,Data Scientist,EN,2021,90000,USD,90000
252,Principal Data Engineer,EX,2021,600000,USD,600000
253,Data Scientist,EN,2021,2100000,INR,28399
254,Data Analyst,MI,2021,93000,USD,93000
255,Big Data Architect,SE,2021,125000,CAD,99703
256,Data Engineer,MI,2021,200000,USD,200000
257,Principal Data Scientist,SE,2021,147000,EUR,173762
258,Machine Learning Engineer,SE,2021,185000,USD,185000
259,Director of Data Science,EX,2021,120000,EUR,141846
260,Data Scientist,MI,2021,130000,USD,130000
261,Data Analyst,SE,2021,54000,EUR,63831
262,Data Scientist,MI,2021,1250000,INR,16904
263,Machine Learning Engineer,SE,2021,4900000,INR,66265
264,Data Scientist,MI,2021,21600,EUR,25532
265,Lead Data Engineer,SE,2021,160000,USD,160000
266,Data Engineer,MI,2021,93150,USD,93150
267,Data Engineer,MI,2021,111775,USD,111775
268,Data Engineer,MI,2021,250000,TRY,28016
269,Data Engineer,EN,2021,55000,EUR,65013
270,Data Engineer,EN,2021,72500,USD,72500
271,Computer Vision Engineer,SE,2021,102000,BRL,18907
272,Data Science Consultant,EN,2021,65000,EUR,76833
273,Machine Learning Engineer,EN,2021,85000,USD,85000
274,Data Scientist,SE,2021,65720,EUR,77684
275,Data Scientist,EN,2021,100000,USD,100000
276,Data Scientist,EN,2021,58000,USD,58000
277,AI Scientist,SE,2021,55000,USD,55000
278,Data Scientist,SE,2021,180000,TRY,20171
279,Business Data Analyst,EN,2021,50000,EUR,59102
280,Data Engineer,MI,2021,112000,USD,112000
281,Research Scientist,EN,2021,100000,USD,100000
282,Data Engineer,MI,2021,59000,EUR,69741
283,Staff Data Scientist,SE,2021,105000,USD,105000
284,Research Scientist,MI,2021,69999,USD,69999
285,Data Science Manager,SE,2021,7000000,INR,94665
286,Head of Data,SE,2021,87000,EUR,102839
287,Data Scientist,MI,2021,109000,USD,109000
288,Machine Learning Engineer,MI,2021,43200,EUR,51064
289,Data Engineer,SE,2022,135000,USD,135000
290,Data Analyst,SE,2022,155000,USD,155000
291,Data Analyst,SE,2022,120600,USD,120600
292,Data Scientist,MI,2022,130000,USD,130000
293,Data Scientist,MI,2022,90000,USD,90000
